;(mm) Hargreaves Potential Evapotranspiration (ERA5_AG) at CE_ID_0. 2019-08-01 to 2024-08-01
1-8-2019;3.3788
2-8-2019;3.1868
3-8-2019;3.5686
4-8-2019;3.7199
5-8-2019;3.7909
6-8-2019;4.2377
7-8-2019;3.9478
8-8-2019;4.2795
9-8-2019;3.1602
10-8-2019;2.2371
11-8-2019;3.7974
12-8-2019;4.228
13-8-2019;3.6908
14-8-2019;3.9798
15-8-2019;3.2977
16-8-2019;3.9726
17-8-2019;4.462
18-8-2019;3.3624
19-8-2019;4.1309
20-8-2019;3.6959
21-8-2019;3.2609
22-8-2019;3.7305
23-8-2019;4.0887
24-8-2019;4.1041
25-8-2019;4.0229
26-8-2019;4.5286
27-8-2019;4.8943
28-8-2019;4.7271
29-8-2019;4.0557
30-8-2019;4.8168
31-8-2019;4.9107
1-9-2019;4.0098
2-9-2019;4.3053
3-9-2019;4.4875
4-9-2019;4.8565
5-9-2019;5.0616
6-9-2019;3.3333
7-9-2019;2.7796
8-9-2019;3.7745
9-9-2019;4.6218
10-9-2019;5.3107
11-9-2019;5.3912
12-9-2019;5.7375
13-9-2019;6.0073
14-9-2019;5.2835
15-9-2019;4.6788
16-9-2019;5.441
17-9-2019;5.3649
18-9-2019;5.5757
19-9-2019;5.2581
20-9-2019;5.3486
21-9-2019;5.6104
22-9-2019;5.9292
23-9-2019;6.119
24-9-2019;3.1658
25-9-2019;3.8622
26-9-2019;4.2062
27-9-2019;4.8295
28-9-2019;6.0895
29-9-2019;6.2896
30-9-2019;6.7689
1-10-2019;4.1849
2-10-2019;3.59
3-10-2019;4.7636
4-10-2019;6.4452
5-10-2019;6.384
6-10-2019;5.9568
7-10-2019;6.5331
8-10-2019;7.0438
9-10-2019;6.2611
10-10-2019;6.5792
11-10-2019;3.9235
12-10-2019;5.906
13-10-2019;6.8692
14-10-2019;4.9129
15-10-2019;6.4193
16-10-2019;5.2356
17-10-2019;5.9651
18-10-2019;6.5462
19-10-2019;6.7451
20-10-2019;6.9038
21-10-2019;7.812
22-10-2019;5.4811
23-10-2019;6.4418
24-10-2019;7.0645
25-10-2019;6.8637
26-10-2019;7.2158
27-10-2019;6.8589
28-10-2019;8.1154
29-10-2019;6.3607
30-10-2019;5.2478
31-10-2019;4.6713
1-11-2019;4.4723
2-11-2019;5.2144
3-11-2019;7.3428
4-11-2019;6.3538
5-11-2019;6.3468
6-11-2019;6.9151
7-11-2019;7.7298
8-11-2019;7.4717
9-11-2019;5.1592
10-11-2019;5.2587
11-11-2019;6.7369
12-11-2019;5.1224
13-11-2019;5.2702
14-11-2019;6.6713
15-11-2019;6.5398
16-11-2019;6.8805
17-11-2019;7.3325
18-11-2019;7.2876
19-11-2019;6.2948
20-11-2019;5.8246
21-11-2019;5.9501
22-11-2019;6.6735
23-11-2019;6.4139
24-11-2019;6.7706
25-11-2019;7.0523
26-11-2019;6.3443
27-11-2019;6.7512
28-11-2019;7.5723
29-11-2019;7.4433
30-11-2019;7.4398
1-12-2019;7.628
2-12-2019;7.3403
3-12-2019;7.4875
4-12-2019;6.3948
5-12-2019;3.9763
6-12-2019;5.4028
7-12-2019;5.6177
8-12-2019;3.3073
9-12-2019;3.6648
10-12-2019;2.8787
11-12-2019;4.7096
12-12-2019;5.8837
13-12-2019;4.4538
14-12-2019;5.5458
15-12-2019;7.0789
16-12-2019;4.7636
17-12-2019;5.4869
18-12-2019;6.7451
19-12-2019;7.4942
20-12-2019;7.416
21-12-2019;6.7677
22-12-2019;6.7919
23-12-2019;6.0573
24-12-2019;7.4199
25-12-2019;7.7119
26-12-2019;7.6258
27-12-2019;7.3409
28-12-2019;5.0951
29-12-2019;5.6749
30-12-2019;7.0747
31-12-2019;6.9515
1-1-2020;6.2283
2-1-2020;6.4056
3-1-2020;6.832
4-1-2020;7.0333
5-1-2020;6.8688
6-1-2020;6.7854
7-1-2020;6.2986
8-1-2020;6.7372
9-1-2020;5.418
10-1-2020;5.7832
11-1-2020;5.0669
12-1-2020;6.1702
13-1-2020;5.9119
14-1-2020;5.235
15-1-2020;5.6456
16-1-2020;6.3364
17-1-2020;5.8185
18-1-2020;4.8663
19-1-2020;4.6116
20-1-2020;3.73
21-1-2020;4.3125
22-1-2020;4.6486
23-1-2020;6.6507
24-1-2020;4.5846
25-1-2020;6.0541
26-1-2020;6.8594
27-1-2020;6.9525
28-1-2020;4.5495
29-1-2020;6.6126
30-1-2020;6.0666
31-1-2020;6.5355
1-2-2020;7.2839
2-2-2020;5.7581
3-2-2020;5.7409
4-2-2020;5.6871
5-2-2020;6.4619
6-2-2020;6.036
7-2-2020;5.8063
8-2-2020;4.1943
9-2-2020;3.9753
10-2-2020;3.709
11-2-2020;3.7713
12-2-2020;4.0932
13-2-2020;4.2686
14-2-2020;5.2204
15-2-2020;5.2611
16-2-2020;4.4835
17-2-2020;4.9708
18-2-2020;4.8823
19-2-2020;5.2163
20-2-2020;5.42
21-2-2020;5.802
22-2-2020;5.1038
23-2-2020;5.2758
24-2-2020;2.7148
25-2-2020;4.3379
26-2-2020;5.2471
27-2-2020;5.6637
28-2-2020;5.9808
29-2-2020;4.3758
1-3-2020;4.2019
2-3-2020;3.6601
3-3-2020;4.2607
4-3-2020;4.7642
5-3-2020;5.2174
6-3-2020;5.3664
7-3-2020;5.0928
8-3-2020;5.0085
9-3-2020;5.4135
10-3-2020;5.5478
11-3-2020;5.586
12-3-2020;5.3866
13-3-2020;5.2228
14-3-2020;5.4706
15-3-2020;5.3125
16-3-2020;4.4352
17-3-2020;3.4474
18-3-2020;4.4328
19-3-2020;5.4004
20-3-2020;4.9596
21-3-2020;5.2089
22-3-2020;4.6925
23-3-2020;4.9551
24-3-2020;4.6192
25-3-2020;5.1464
26-3-2020;5.6126
27-3-2020;3.8536
28-3-2020;3.3977
29-3-2020;4.865
30-3-2020;4.8602
31-3-2020;4.8129
1-4-2020;4.7103
2-4-2020;3.8796
3-4-2020;3.411
4-4-2020;3.1387
5-4-2020;4.603
6-4-2020;5.1323
7-4-2020;5.4465
8-4-2020;3.396
9-4-2020;2.6485
10-4-2020;3.0828
11-4-2020;4.3066
12-4-2020;4.9019
13-4-2020;5.1238
14-4-2020;4.5524
15-4-2020;4.1277
16-4-2020;4.2207
17-4-2020;3.3067
18-4-2020;3.4429
19-4-2020;3.5126
20-4-2020;3.6303
21-4-2020;3.9788
22-4-2020;3.6897
23-4-2020;3.6712
24-4-2020;3.7227
25-4-2020;4.0419
26-4-2020;3.5025
27-4-2020;3.1391
28-4-2020;3.4294
29-4-2020;3.4602
30-4-2020;3.7644
1-5-2020;3.8301
2-5-2020;3.5931
3-5-2020;3.9358
4-5-2020;3.8368
5-5-2020;3.2882
6-5-2020;3.4779
7-5-2020;2.9642
8-5-2020;3.196
9-5-2020;3.3191
10-5-2020;2.9523
11-5-2020;3.2264
12-5-2020;3.5629
13-5-2020;3.6761
14-5-2020;3.1333
15-5-2020;3.1492
16-5-2020;3.6707
17-5-2020;2.7171
18-5-2020;3.2851
19-5-2020;3.2655
20-5-2020;3.0333
21-5-2020;2.4385
22-5-2020;2.9381
23-5-2020;3.0112
24-5-2020;3.0316
25-5-2020;3.2489
26-5-2020;3.4733
27-5-2020;2.6274
28-5-2020;2.8249
29-5-2020;3.2622
30-5-2020;3.182
31-5-2020;3.0958
1-6-2020;3.0177
2-6-2020;2.9162
3-6-2020;2.847
4-6-2020;2.8323
5-6-2020;2.6497
6-6-2020;2.6524
7-6-2020;2.4822
8-6-2020;2.7534
9-6-2020;2.7506
10-6-2020;2.9081
11-6-2020;3.3039
12-6-2020;2.345
13-6-2020;2.4405
14-6-2020;2.4557
15-6-2020;2.6924
16-6-2020;2.1666
17-6-2020;2.0572
18-6-2020;2.2806
19-6-2020;2.2116
20-6-2020;2.5486
21-6-2020;2.8177
22-6-2020;2.8144
23-6-2020;2.6263
24-6-2020;2.6743
25-6-2020;2.4307
26-6-2020;2.5301
27-6-2020;3.0308
28-6-2020;2.8531
29-6-2020;2.689
30-6-2020;2.8109
1-7-2020;2.1619
2-7-2020;2.6711
3-7-2020;3.1629
4-7-2020;2.624
5-7-2020;3.1614
6-7-2020;3.0272
7-7-2020;3.0031
8-7-2020;2.2894
9-7-2020;2.54
10-7-2020;3.1962
11-7-2020;2.5917
12-7-2020;2.6231
13-7-2020;2.7952
14-7-2020;3.1968
15-7-2020;2.5127
16-7-2020;2.4752
17-7-2020;2.7968
18-7-2020;2.867
19-7-2020;3.0796
20-7-2020;2.8685
21-7-2020;2.9201
22-7-2020;2.8936
23-7-2020;2.7473
24-7-2020;2.5935
25-7-2020;2.4917
26-7-2020;3.021
27-7-2020;2.8522
28-7-2020;2.3968
29-7-2020;3.0651
30-7-2020;3.565
31-7-2020;3.1842
1-8-2020;3.3873
2-8-2020;3.2586
3-8-2020;3.1541
4-8-2020;3.3744
5-8-2020;3.7576
6-8-2020;3.67
7-8-2020;2.728
8-8-2020;2.8431
9-8-2020;3.9198
10-8-2020;4.2478
11-8-2020;3.5548
12-8-2020;4.2563
13-8-2020;4.4603
14-8-2020;3.2259
15-8-2020;4.4841
16-8-2020;4.6998
17-8-2020;2.8454
18-8-2020;4.357
19-8-2020;3.6246
20-8-2020;2.3308
21-8-2020;3.4664
22-8-2020;2.6839
23-8-2020;3.9142
24-8-2020;4.3735
25-8-2020;4.723
26-8-2020;4.9611
27-8-2020;3.4611
28-8-2020;5.1492
29-8-2020;5.1458
30-8-2020;3.4806
31-8-2020;2.6055
1-9-2020;2.6028
2-9-2020;2.6064
3-9-2020;3.9284
4-9-2020;4.2576
5-9-2020;3.9273
6-9-2020;3.8506
7-9-2020;4.357
8-9-2020;4.6699
9-9-2020;4.3757
10-9-2020;4.6489
11-9-2020;4.2054
12-9-2020;4.4034
13-9-2020;4.684
14-9-2020;5.4853
15-9-2020;5.9175
16-9-2020;5.6469
17-9-2020;5.5645
18-9-2020;4.7729
19-9-2020;5.6409
20-9-2020;5.6745
21-9-2020;6.2656
22-9-2020;2.9145
23-9-2020;4.4814
24-9-2020;5.1923
25-9-2020;6.1475
26-9-2020;6.959
27-9-2020;5.3648
28-9-2020;5.4341
29-9-2020;4.6786
30-9-2020;3.4429
1-10-2020;5.4139
2-10-2020;3.6136
3-10-2020;5.0666
4-10-2020;5.8529
5-10-2020;4.9561
6-10-2020;4.0581
7-10-2020;3.2243
8-10-2020;3.8444
9-10-2020;5.331
10-10-2020;6.1817
11-10-2020;4.1924
12-10-2020;2.6595
13-10-2020;4.6116
14-10-2020;5.2466
15-10-2020;4.9349
16-10-2020;6.7054
17-10-2020;5.5477
18-10-2020;7.3585
19-10-2020;7.202
20-10-2020;7.437
21-10-2020;5.4016
22-10-2020;5.7149
23-10-2020;6.2916
24-10-2020;6.1555
25-10-2020;6.3388
26-10-2020;6.1955
27-10-2020;6.2319
28-10-2020;6.4313
29-10-2020;6.4583
30-10-2020;6.6572
31-10-2020;5.7461
1-11-2020;4.3008
2-11-2020;6.0524
3-11-2020;6.4623
4-11-2020;5.8524
5-11-2020;5.7032
6-11-2020;6.547
7-11-2020;7.5482
8-11-2020;7.8676
9-11-2020;7.2451
10-11-2020;6.021
11-11-2020;5.2585
12-11-2020;4.1717
13-11-2020;5.9779
14-11-2020;6.9395
15-11-2020;7.1005
16-11-2020;6.9446
17-11-2020;6.7252
18-11-2020;6.3325
19-11-2020;7.3741
20-11-2020;5.1394
21-11-2020;5.297
22-11-2020;6.649
23-11-2020;6.3725
24-11-2020;7.193
25-11-2020;7.2275
26-11-2020;4.6894
27-11-2020;6.1843
28-11-2020;4.4396
29-11-2020;6.002
30-11-2020;4.8965
1-12-2020;6.6848
2-12-2020;5.3786
3-12-2020;4.2614
4-12-2020;5.7364
5-12-2020;3.3318
6-12-2020;3.9442
7-12-2020;3.9402
8-12-2020;4.3592
9-12-2020;5.2389
10-12-2020;6.9648
11-12-2020;7.3809
12-12-2020;7.0711
13-12-2020;5.7604
14-12-2020;6.2459
15-12-2020;4.2991
16-12-2020;3.7561
17-12-2020;3.813
18-12-2020;4.7494
19-12-2020;3.6658
20-12-2020;4.7055
21-12-2020;5.1868
22-12-2020;5.6979
23-12-2020;6.033
24-12-2020;5.0417
25-12-2020;3.6716
26-12-2020;5.405
27-12-2020;5.4572
28-12-2020;6.049
29-12-2020;5.5908
30-12-2020;6.5232
31-12-2020;5.3541
1-1-2021;5.8636
2-1-2021;5.1642
3-1-2021;4.9025
4-1-2021;5.7499
5-1-2021;6.4826
6-1-2021;6.7491
7-1-2021;3.5635
8-1-2021;4.8274
9-1-2021;5.6896
10-1-2021;5.7382
11-1-2021;4.9277
12-1-2021;5.0806
13-1-2021;6.1986
14-1-2021;5.6497
15-1-2021;5.5591
16-1-2021;5.0545
17-1-2021;5.3963
18-1-2021;4.8301
19-1-2021;3.9131
20-1-2021;5.736
21-1-2021;4.6038
22-1-2021;5.4077
23-1-2021;6.1465
24-1-2021;3.3808
25-1-2021;5.3127
26-1-2021;5.1244
27-1-2021;5.2218
28-1-2021;5.2427
29-1-2021;3.8435
30-1-2021;4.6408
31-1-2021;5.1064
1-2-2021;4.8389
2-2-2021;3.6997
3-2-2021;4.5337
4-2-2021;5.0227
5-2-2021;4.4935
6-2-2021;4.6911
7-2-2021;4.2572
8-2-2021;4.3909
9-2-2021;4.7506
10-2-2021;4.8111
11-2-2021;5.2236
12-2-2021;5.1119
13-2-2021;4.8278
14-2-2021;4.5921
15-2-2021;4.8658
16-2-2021;2.9969
17-2-2021;4.4462
18-2-2021;5.7361
19-2-2021;5.5236
20-2-2021;5.5165
21-2-2021;5.1096
22-2-2021;4.3018
23-2-2021;4.0607
24-2-2021;4.789
25-2-2021;5.0073
26-2-2021;4.4348
27-2-2021;3.615
28-2-2021;3.4951
1-3-2021;3.97
2-3-2021;3.8124
3-3-2021;4.7562
4-3-2021;5.2153
5-3-2021;5.3617
6-3-2021;4.3234
7-3-2021;5.1819
8-3-2021;5.2423
9-3-2021;5.4068
10-3-2021;5.5819
11-3-2021;5.6504
12-3-2021;4.1037
13-3-2021;4.4136
14-3-2021;4.3199
15-3-2021;4.3535
16-3-2021;5.1768
17-3-2021;4.7857
18-3-2021;4.8514
19-3-2021;4.8623
20-3-2021;4.4414
21-3-2021;4.7774
22-3-2021;3.302
23-3-2021;3.1394
24-3-2021;3.8123
25-3-2021;4.4458
26-3-2021;4.8971
27-3-2021;5.2992
28-3-2021;3.5108
29-3-2021;3.833
30-3-2021;4.6604
31-3-2021;4.4659
1-4-2021;4.8542
2-4-2021;4.6109
3-4-2021;5.0751
4-4-2021;3.3729
5-4-2021;4.7352
6-4-2021;3.7945
7-4-2021;3.7849
8-4-2021;4.5119
9-4-2021;4.3336
10-4-2021;4.3562
11-4-2021;4.5056
12-4-2021;4.5743
13-4-2021;4.3966
14-4-2021;4.6695
15-4-2021;4.4554
16-4-2021;4.5067
17-4-2021;3.3301
18-4-2021;3.7505
19-4-2021;3.8864
20-4-2021;3.7285
21-4-2021;3.6317
22-4-2021;3.8315
23-4-2021;3.9368
24-4-2021;4.1299
25-4-2021;4.2829
26-4-2021;4.0589
27-4-2021;4.2337
28-4-2021;4.3427
29-4-2021;3.9881
30-4-2021;3.64
1-5-2021;2.8175
2-5-2021;2.6519
3-5-2021;3.0324
4-5-2021;3.3023
5-5-2021;3.7138
6-5-2021;3.5641
7-5-2021;3.1877
8-5-2021;3.4339
9-5-2021;3.5917
10-5-2021;3.2212
11-5-2021;3.3115
12-5-2021;3.3217
13-5-2021;3.4059
14-5-2021;3.2749
15-5-2021;3.6457
16-5-2021;3.6863
17-5-2021;3.6142
18-5-2021;2.7012
19-5-2021;3.0919
20-5-2021;3.1884
21-5-2021;3.66
22-5-2021;2.6684
23-5-2021;2.5878
24-5-2021;2.8618
25-5-2021;2.8401
26-5-2021;3.1532
27-5-2021;3.2584
28-5-2021;3.3531
29-5-2021;3.4221
30-5-2021;3.3125
31-5-2021;2.071
1-6-2021;2.9262
2-6-2021;2.821
3-6-2021;2.7735
4-6-2021;2.3758
5-6-2021;2.4033
6-6-2021;2.1488
7-6-2021;1.9403
8-6-2021;2.2369
9-6-2021;2.5239
10-6-2021;2.585
11-6-2021;2.6738
12-6-2021;2.834
13-6-2021;3.1406
14-6-2021;2.9377
15-6-2021;2.7796
16-6-2021;2.82
17-6-2021;2.927
18-6-2021;3.1049
19-6-2021;2.1381
20-6-2021;2.1965
21-6-2021;2.3415
22-6-2021;2.6296
23-6-2021;2.7162
24-6-2021;2.9127
25-6-2021;3.0629
26-6-2021;3.2063
27-6-2021;3.1809
28-6-2021;3.1602
29-6-2021;3.3641
30-6-2021;3.4852
1-7-2021;3.3659
2-7-2021;3.2524
3-7-2021;3.0339
4-7-2021;3.4237
5-7-2021;2.666
6-7-2021;1.915
7-7-2021;2.4946
8-7-2021;2.7328
9-7-2021;2.8641
10-7-2021;2.7994
11-7-2021;2.945
12-7-2021;2.9891
13-7-2021;2.9936
14-7-2021;2.3
15-7-2021;1.5952
16-7-2021;2.1098
17-7-2021;2.4303
18-7-2021;2.7204
19-7-2021;2.5401
20-7-2021;2.6768
21-7-2021;3.2078
22-7-2021;2.8286
23-7-2021;2.6103
24-7-2021;2.3968
25-7-2021;2.2473
26-7-2021;2.4305
27-7-2021;2.7863
28-7-2021;2.9305
29-7-2021;3.2648
30-7-2021;3.1209
31-7-2021;2.762
1-8-2021;3.3143
2-8-2021;3.6507
3-8-2021;2.5776
4-8-2021;3.2392
5-8-2021;3.3603
6-8-2021;3.6728
7-8-2021;4.0835
8-8-2021;3.5906
9-8-2021;4.1852
10-8-2021;2.8298
11-8-2021;3.0412
12-8-2021;4.3178
13-8-2021;3.074
14-8-2021;1.8733
15-8-2021;2.4752
16-8-2021;3.5026
17-8-2021;3.6275
18-8-2021;4.3138
19-8-2021;4.717
20-8-2021;4.0143
21-8-2021;3.539
22-8-2021;4.3638
23-8-2021;3.4715
24-8-2021;4.4722
25-8-2021;4.3455
26-8-2021;4.2203
27-8-2021;4.87
28-8-2021;4.1856
29-8-2021;2.2231
30-8-2021;3.4524
31-8-2021;4.8809
1-9-2021;5.1015
2-9-2021;4.1328
3-9-2021;4.8869
4-9-2021;5.0788
5-9-2021;4.7185
6-9-2021;5.0725
7-9-2021;4.4714
8-9-2021;2.9056
9-9-2021;3.1859
10-9-2021;3.7623
11-9-2021;4.2555
12-9-2021;4.6325
13-9-2021;5.1721
14-9-2021;5.4106
15-9-2021;5.9302
16-9-2021;4.9449
17-9-2021;4.4145
18-9-2021;3.5038
19-9-2021;4.464
20-9-2021;5.8852
21-9-2021;5.8778
22-9-2021;3.5649
23-9-2021;4.5938
24-9-2021;5.4792
25-9-2021;5.5311
26-9-2021;5.6175
27-9-2021;5.6098
28-9-2021;6.1597
29-9-2021;5.4695
30-9-2021;3.8325
1-10-2021;5.2554
2-10-2021;6.4215
3-10-2021;5.8818
4-10-2021;2.9689
5-10-2021;4.4979
6-10-2021;5.1921
7-10-2021;4.1859
8-10-2021;5.3147
9-10-2021;6.1858
10-10-2021;4.4763
11-10-2021;4.0784
12-10-2021;5.8577
13-10-2021;6.7189
14-10-2021;6.9314
15-10-2021;7.1243
16-10-2021;7.4441
17-10-2021;5.8815
18-10-2021;3.8915
19-10-2021;3.1147
20-10-2021;4.6726
21-10-2021;6.0261
22-10-2021;6.6653
23-10-2021;7.3284
24-10-2021;6.0965
25-10-2021;3.9956
26-10-2021;4.4537
27-10-2021;4.5908
28-10-2021;4.0539
29-10-2021;5.8375
30-10-2021;6.8462
31-10-2021;5.9581
1-11-2021;6.7917
2-11-2021;7.7374
3-11-2021;6.3819
4-11-2021;6.0485
5-11-2021;7.0381
6-11-2021;6.719
7-11-2021;7.0163
8-11-2021;7.097
9-11-2021;6.2643
10-11-2021;5.2653
11-11-2021;6.7477
12-11-2021;6.8522
13-11-2021;6.9374
14-11-2021;7.3466
15-11-2021;6.3264
16-11-2021;7.0481
17-11-2021;6.4128
18-11-2021;6.8609
19-11-2021;6.0302
20-11-2021;4.0944
21-11-2021;3.6808
22-11-2021;5.052
23-11-2021;5.3257
24-11-2021;5.5498
25-11-2021;3.5026
26-11-2021;4.1377
27-11-2021;4.385
28-11-2021;6.2584
29-11-2021;7.1851
30-11-2021;6.333
1-12-2021;7.081
2-12-2021;6.9252
3-12-2021;7.3386
4-12-2021;6.8836
5-12-2021;7.0894
6-12-2021;5.0964
7-12-2021;5.6517
8-12-2021;4.182
9-12-2021;5.1451
10-12-2021;6.335
11-12-2021;6.5496
12-12-2021;6.7671
13-12-2021;5.7734
14-12-2021;5.6567
15-12-2021;6.2038
16-12-2021;6.0818
17-12-2021;4.1693
18-12-2021;3.2198
19-12-2021;3.3573
20-12-2021;4.7277
21-12-2021;4.4067
22-12-2021;5.2206
23-12-2021;6.3095
24-12-2021;6.6314
25-12-2021;4.924
26-12-2021;3.7056
27-12-2021;5.0568
28-12-2021;6.4968
29-12-2021;6.4976
30-12-2021;6.3344
31-12-2021;6.529
1-1-2022;6.2886
2-1-2022;6.7778
3-1-2022;5.8295
4-1-2022;6.5667
5-1-2022;6.6593
6-1-2022;6.1197
7-1-2022;5.8861
8-1-2022;5.5109
9-1-2022;5.9486
10-1-2022;5.8857
11-1-2022;6.2984
12-1-2022;6.1346
13-1-2022;5.3336
14-1-2022;5.1115
15-1-2022;5.5529
16-1-2022;5.8085
17-1-2022;5.1651
18-1-2022;5.528
19-1-2022;6.885
20-1-2022;5.791
21-1-2022;6.1262
